Frame,Scale,a_length (Å),b_length (Å),c_length (Å),D3s_Energy,D3_Energy
0,0.75000,1.5169228275,1.5169228275,1.5169228275,-0.012213054522691969,-0.007948380351677737
1,0.80000,1.618051016,1.618051016,1.618051016,-0.011456387903189116,-0.007405665102731961
2,0.85000,1.7191792045,1.7191792045,1.7191792045,-0.01074268782028784,-0.006906802289882048
3,0.90000,1.820307393,1.820307393,1.820307393,-0.01016188351170699,-0.006481676518371919
4,0.95000,1.9214355815,1.9214355815,1.9214355815,-0.00978125274589386,-0.006140054520718127
5,1.00000,2.02256377,2.02256377,2.02256377,-0.009696452316971178,-0.005881245004410137
6,1.05000,2.1236919585,2.1236919585,2.1236919585,-0.010087755481643278,-0.00571993632534717
7,1.10000,2.224820147,2.224820147,2.224820147,-0.011238620119787924,-0.005764756417701509
8,1.15000,2.3259483355,2.3259483355,2.3259483355,-0.013329157770912196,-0.006396484038875416
9,1.20000,2.427076524,2.427076524,2.427076524,-0.015913782557387905,-0.009122629666050059
10,1.25000,2.5282047125,2.5282047125,2.5282047125,-0.01800995795023469,-0.019077650050247433
11,1.30000,2.629332901,2.629332901,2.629332901,-0.01904018602606787,-0.029199418533587443
12,1.35000,2.7304610895,2.7304610895,2.7304610895,-0.019063304159880112,-0.031711377491653765
13,1.40000,2.831589278,2.831589278,2.831589278,-0.01836658896167649,-0.030794170071515487
14,1.45000,2.9327174665,2.9327174665,2.9327174665,-0.017214113139258965,-0.02871062586405529
15,1.50000,3.033845655,3.033845655,3.033845655,-0.015799446876966532,-0.02618557837312461
16,1.55000,3.1349738435,3.1349738435,3.1349738435,-0.014260139800905873,-0.0235106461941068
17,1.60000,3.236102032,3.236102032,3.236102032,-0.012695015552844267,-0.020844639641333394
18,1.65000,3.3372302205,3.3372302205,3.3372302205,-0.011174497092377243,-0.018289683046469656
19,1.70000,3.438358409,3.438358409,3.438358409,-0.009746320987005602,-0.015912329317837755
20,1.75000,3.5394865975,3.5394865975,3.5394865975,-0.008439542846017369,-0.013751554855309964
21,1.80000,3.640614786,3.640614786,3.640614786,-0.007268250759297143,-0.011824327454879878
22,1.85000,3.7417429745,3.7417429745,3.7417429745,-0.006235265653832667,-0.010131004014699175
23,1.90000,3.842871163,3.842871163,3.842871163,-0.005335613975797533,-0.008660503493892736
24,1.95000,3.9439993515,3.9439993515,3.9439993515,-0.004559498889931379,-0.007394799485961228
25,2.00000,4.04512754,4.04512754,4.04512754,-0.0038946192436178344,-0.006312444380553976
26,2.05000,4.1462557285,4.1462557285,4.1462557285,-0.003327828331089686,-0.005391083101173421
27,2.10000,4.247383917,4.247383917,4.247383917,-0.0028462196680068405,-0.0046090815539038925
28,2.15000,4.3485121055,4.3485121055,4.3485121055,-0.0024377666635020997,-0.003946465564419419
29,2.20000,4.449640294,4.449640294,4.449640294,-0.0020916434763984426,-0.0033853693377990136
30,2.25000,4.5507684825,4.5507684825,4.5507684825,-0.001798334668858177,-0.0029101618536397514
31,2.30000,4.651896671,4.651896671,4.651896671,-0.0015496154705574878,-0.0025073787627975823
32,2.35000,4.7530248595,4.7530248595,4.7530248595,-0.001338460227412028,-0.0021655490125395372
33,2.40000,4.854153048,4.854153048,4.854153048,-0.0011589170365201762,-0.001874974609819086
34,2.45000,4.9552812365,4.9552812365,4.9552812365,-0.0010059721550935079,-0.0016274993689842513
